太平洋戦争のとき、日本を軍事・経済的に包囲した「ABCDライン」の4カ国とは、アメリカ、イギリス、中国とどこの国でしょう？,オランダ
フランス語で「選び出す」という意味がある、社会の指導的立場に立っている人を何というでしょう？,エリート
「人気のバロメーター」などという時の、「バロメーター」とは、本来何を測る器械でしょう？,気圧
313年にローマ皇帝・コンスタンティヌス帝が発した、キリスト教公認令を何というでしょう?,ミラノ勅令
京都・竜安寺の庭園のように、全く水を用いずに石や白砂で「山や水」を表現した、日本庭園の様式を何というでしょう？,枯山水
建築工事を始める前に、その土地の神様をまつり、工事の無事を祈願する儀式を何というでしょう？,地鎮祭（じちんさい）
1989年の参議院選挙で土井たか子率いる日本社会党が躍進したことを、当選者に女性が多く含まれていたことから何旋風といったでしょう？,マドンナ旋風
交響曲第五番『運命』といえばベートーベンですが、交響曲第五番『革命』で知られるロシアの作曲家は誰でしょう？,ショスターコービッチ
オーストリアの物理学者の名前から付けられた、音速を表す単位といったら何でしょう？,マッハ
九州地方で最も面積の大きい県は鹿児島県ですが、東北地方で最も面積の大きい県は何県でしょう？,岩手県
ハンドボールで、宙に跳んで浮いている間にパスを受け、シュートすることを何というでしょう？,スカイプレー
昭和47年に『パチンコ』という作品でデビューした、タレントとしても活躍する漫画家は誰でしょう？,蛭子能収（えびす・よしかず）
わが国では独占禁止法で制限されている、競争関係にある同種の企業が価格などで競争を回避するために結ぶ協定のことを何というでしょう？,カルテル、企業連合
地表面を上空から見下ろすように描いた図を鳥瞰図というのに対し､ 地表から見上げるように描いた図を、両生類に喩えて何というでしょう？,蛙瞰図（あかんず）
相撲で、実力以上の番付にいて苦戦することを「何が高い」というでしょう？,家賃が高い
シャクトリムシはシャクガの幼虫ですが、ミノムシは何という昆虫の幼虫でしょう？,ミノガ
シアトルに本社を置く、世界最大のオンライン書店は何でしょう？,Amazon.com
世界七不思議のひとつ・ファロス島の灯台があったといわれている、クレオパトラ統治時代の首都だったエジプトの都市はどこでしょう?,アレクサンドリア
グリニッジ標準時で0時のとき、日本では何時になっているでしょう？,午前9時
録画予約に用いる「Gコード」のGとは何という言葉の略でしょう？,ジェムスター
シナモン、クローブ、ナツメグの三つの香りを合わせた風味を持つとされる事から名のついた香辛料は何でしょう？,オールスパイス
登山ブームのきっかけとなった山岳紀行集「日本百名山」などの著作で知られる作家は誰でしょう？,深田久弥（ふかだ・きゅうや）
スペインの闘牛で、マタドールがウシを誘うのに使う、棒に巻いた赤い布を何というでしょう？,ムレタ、ムレータ
ネコ、ネズミ、ノコギリなどの種類のある魚は何でしょう？,サメ
動詞の活用形で、「クイズで飛ぶ」の「飛ぶ」は五段活用ですが、「クイズをする」の「する」の活用は何でしょう？,サ行変格活用
キトラ古墳、高松塚古墳、石舞台古墳など、至るところに古墳や史跡があることで知られる奈良県の村はどこでしょう？,明日香村
お嫁入りする女性の気持ちを歌った、熊本県を代表する民謡といえば何でしょう？,『おてもやん』
『水の中のナイフ』『ローズマリーの赤ちゃん』そして現在公開中の『戦場のピアニスト』などの作品で知られる、ポーランド生まれの映画監督といえば誰でしょう？,ロマン・ポランスキー
煮立てた豆乳の表面にできた膜を乾燥させて作る、日光名物の食べ物は何でしょう？,湯葉
これまでに二度映画化された小説「ビルマの竪琴」の作者は誰でしょう？,竹山道雄
昭和29年に行われたわが国初のプロレスの国際試合で、力道山・木村政彦組と対戦したのは「何兄弟」でしょう？,シャープ兄弟
ウィリアム・ハンナとジョセフ・バーバラにより生み出された、いつもケンカばかりしているネコとネズミのコンビといえば「何と何」でしょう？,トムとジェリー
「精神現象学」などの著書で知られる、弁証法を確立したドイツの古典哲学者は誰でしょう？,ヘーゲル
チベット高原の雪解け水を源流とする全長約4400kmの川で、ラオスとタイの国境を流れているのは何でしょう？,メコン川
約600gを1とする、食パンの重さの単位としてよく用いられる重量の単位は何でしょう？,斤
江戸時代、わらじが非常に安く売られていたことに由来する、数が多くて極めて安いことを意味する四字熟語は何でしょう？,二束三文
日本語では「鉄梃（かなてこ）」という建築用具で、その性能ゆえに悪用されることが多く、犯罪報道などではよく「これのようなものでこじ開けられた」と形容されるものは何でしょう？,バール
江戸時代、大名や将軍のお抱えの医者のことを何といったでしょう？,御典医
ボートのエイト競技で、ボートに乗るのは何人でしょう？,9人
つくしの茎に間隔をおいて生えているギザギザした葉のことを、ある和服にちなんで何というでしょう？,はかま
人を奮い立たせる、という意味の言葉で、「檄」は「飛ばす」と言いますが、「発破」はどうする、というでしょう？,掛ける
多くの船や飛行機が行方不明になっている北大西洋西部の三角海域を、ある島の名を使って何というでしょう？,バミューダ海域、バミューダトライアングル
竹で作られ、長さが「一尺八寸」であることからその名が付いた楽器といったら何でしょう？,尺八（しゃくはち）
映画の撮影が始まることをクランクインというのに対し､すべての撮影が終わることを何というでしょう？,クランクアップ
野菜などを普通の畑で栽培する方法を、温室栽培に対して何というでしょう？,露地栽培（ろじさいばい）
村上春樹の小説『海辺のカフカ』で、主人公の15歳の少年カフカの苗字は何でしょう？,田村
1891年にアメリカのネイスミスによって考案された、日本では「篭球（ろうきゅう）」というスポーツは何でしょう？,バスケットボール
