「実験心理学の父」と呼ばれるドイツ人心理学者。内観法を重視した。,ヴィルヘルム・ヴント,,
心理学において、心や精神の働きを自己観察すること、またその方法。行動主義に対する。,内観（法）,,
刺激に対して頭や目を向けようとする定位反応（定位反射）を示すことを利用して、視線の動きや注視の時間などから、視覚・色覚や興味・関心などを測定する実験方法。新生児・乳児や動物などの心理テストが難しい被験者に対して用いられる。,選好注視法（PL法）,,
乳児の視力を測る際に使われる視力の一種。白黒の縞模様を細かくしていくと灰色と見分けがつかなくなることを利用し、そのときの目の動きを観察することによって視力を測定する。,縞視力,,
突然の新奇な刺激が与えられたときに，動物がすばやく頭と目をその刺激源に向けること。,定位反応,,
心理学において、 ある刺激がくり返し提示されることによって、その刺激に対する反応が徐徐に見られなくなっていく現象を指す言葉。この後に新たな刺激が与えられ反応が復活することは「脱―」という。,馴化,,
口に入ってきたものを強く吸う、原始反射の一つ。生後半年程度で消失する。探索反射、嚥下反射などと合わせて哺乳反射と呼ばれる。,吸啜（きゅうてつ）反射,,
特定の個人や事象について，具体的な出来事，特質をよく表すエピソードなどを日常的な観察や聞き語りに基づいて収集し，記録していく方法。ダーウィンによる『人間と動物の表情』などが有名。,逸話法,,
「ある行動がより低次の心的能力の行使の結果であると解釈できる場合は，その行動をより高次の心的能力の行使の結果であると解釈するべきではない」とする動物行動の解釈における倹約の原則。逸話法を非難し、後の行動主義へとつながっていった。,モーガンの公準,,
ドイツの動物学者ワイスマンが主張した、生物の偶発的な遺伝的変異に自然淘汰が作用して進化が起きるという学説。獲得形質の遺伝を否定した。,ネオ・ダーウィニズム,,
後天性遺伝形質とも。生物個体が一生の間に、環境の影響や鍛錬によって獲得した形質。,獲得形質,,
「ある生物が普段よく使う器官や機能がより発達し、反対にあまり使わない器官や機能は縮小していく。子孫にもその形質が受け継がれる」とする学説。フランスの博物学者ラマルクの著書『動物哲学』で主張されたが、現在では否定されている。,用不用説,,
植物の発育段階説や春化処理を研究したソ連の生物学者。環境の操作により植物の遺伝性を後天的に変化させ得るという学説を唱え、反対派のメンデル遺伝学者を追放する論争を巻き起こしたが、のちに否定され失脚した。,トロフィム・ルイセンコ,,
